n,estimator,mean_estimate,true_effect,bias,sd_of_estimate,mean_se,coverage_95,power
8000,difference in means,0.07559086486410686,0.07486842754521726,0.0007224373188896016,0.08281261371128563,0.07997761927613682,0.9425,0.16
8000,CUPED,0.07401164747430466,0.07486842754521726,-0.0008567800709125967,0.06885433543578472,0.06594159719133184,0.9475,0.1975
8000,OLS adjusted,0.07402126885450715,0.07486842754521726,-0.0008471586907101147,0.06886350950497823,0.06595348676071675,0.9475,0.1975
16000,difference in means,0.07430592155237771,0.07486842754521726,-0.0005625059928395515,0.05771334087097693,0.05669255009720555,0.95,0.255
16000,CUPED,0.07466708565445676,0.07486842754521726,-0.0002013418907605008,0.04842890051486165,0.04678577907281964,0.94,0.355
16000,OLS adjusted,0.07467133392174727,0.07486842754521726,-0.00019709362346999326,0.04843111038265588,0.04679008675275427,0.94,0.355
32000,difference in means,0.07368503249728345,0.07486842754521726,-0.0011833950479338134,0.03877412536100081,0.04000336227135566,0.96,0.45
32000,CUPED,0.07323674598499075,0.07486842754521726,-0.001631681560226514,0.031007137088160774,0.03299353130137244,0.965,0.5975
32000,OLS adjusted,0.07323923983938312,0.07486842754521726,-0.0016291877058341453,0.031008157934173664,0.03299394192961182,0.965,0.5975
64000,difference in means,0.07396337554187124,0.07486842754521726,-0.0009050520033460213,0.026823664035715122,0.02831121885898046,0.9675,0.7675
64000,CUPED,0.07430866581487,0.07486842754521726,-0.0005597617303472607,0.022630025427453605,0.023367602944706453,0.9625,0.9
64000,OLS adjusted,0.07430970686788027,0.07486842754521726,-0.0005587206773369907,0.02263031760159604,0.02336796461467949,0.9625,0.9
96000,difference in means,0.07421260088681324,0.07486842754521726,-0.000655826658404024,0.022941142318380344,0.02308488628476854,0.95,0.895
96000,CUPED,0.07345787603488083,0.07486842754521726,-0.0014105515103364358,0.01922826294825048,0.019057134408512883,0.9525,0.98
96000,OLS adjusted,0.07345852928235069,0.07486842754521726,-0.0014098982628665685,0.019228396665849187,0.019057376612315564,0.9525,0.98
128000,difference in means,0.07541385614246965,0.07486842754521726,0.000545428597252387,0.02023605990355999,0.020020917862748604,0.955,0.97
128000,CUPED,0.07567069548081362,0.07486842754521726,0.0008022679355963597,0.0159573872340191,0.016520615564241132,0.955,1.0
128000,OLS adjusted,0.07567131652982559,0.07486842754521726,0.000802888984608327,0.015957602978313248,0.016520676892279776,0.955,1.0
