drivers,n_drivers,in_sample_r2,backtest_mape_pipeline,backtest_mape_oracle
interest_rate_10_yr,1,0.852,13.86,13.92
consumer_confidence_index,1,0.9451,17.25,7.77
consumer_price_index,1,0.8536,14.76,14.52
retail_trade_vol_millions,1,0.8964,14.65,15.16
"interest_rate_10_yr, consumer_confidence_index",2,0.96,17.15,7.32
"interest_rate_10_yr, consumer_price_index",2,0.8539,14.73,14.51
"interest_rate_10_yr, retail_trade_vol_millions",2,0.898,14.52,14.96
"consumer_confidence_index, consumer_price_index",2,0.9451,17.31,7.96
"consumer_confidence_index, retail_trade_vol_millions",2,0.9533,17.2,9.37
"consumer_price_index, retail_trade_vol_millions",2,0.9075,15.82,15.27
"interest_rate_10_yr, consumer_confidence_index, consumer_price_index",3,0.9602,17.07,7.23
"interest_rate_10_yr, consumer_confidence_index, retail_trade_vol_millions",3,0.9683,16.58,7.08
"interest_rate_10_yr, consumer_price_index, retail_trade_vol_millions",3,0.9123,15.18,14.21
"consumer_confidence_index, consumer_price_index, retail_trade_vol_millions",3,0.9545,17.41,9.65
"interest_rate_10_yr, consumer_confidence_index, consumer_price_index, retail_trade_vol_millions",4,0.9715,16.48,6.44
