model,h,mase,mape,n
ETS,1,0.8083686218124173,14.015638622227636,76
ETS,3,1.4421961187711496,23.722566166243126,76
ETS,6,1.885043936484874,32.04184876760009,76
ETS,12,2.3365017667039996,45.52854022501783,75
SARIMA,1,0.8124646641211541,14.052775737677578,76
SARIMA,3,1.4337215326754786,23.694343074439793,76
SARIMA,6,1.907885353598528,32.91225776278765,76
SARIMA,12,2.3523227408239777,46.88701203489797,75
random walk,1,0.7599381579307232,12.823639433567728,78
random walk,3,1.3555181012258986,23.209941904990693,78
random walk,6,1.850877514662277,33.29588798311038,77
random walk,12,2.280790702431756,44.77518134118662,75
seasonal naive,1,2.03008164718037,38.706000010011834,78
seasonal naive,3,2.246762377093701,43.44830139640669,78
seasonal naive,6,2.2672436275979573,44.007351588589344,77
seasonal naive,12,2.280790702431756,44.77518134118662,75
