origin,model,h,actual,pred,abs_error,scaled_error,pct_error
120,random walk,1,10.805286637419966,11.136115659068384,0.33082902164841776,0.32027471511225586,3.0617329530409525
120,random walk,3,11.56140178814913,11.136115659068384,0.4252861290807459,0.41171839506052416,3.6784996912457464
120,random walk,6,11.7795715903855,11.136115659068384,0.6434559313171153,0.622928012974904,5.462473116104705
120,random walk,12,11.303571673427413,11.136115659068384,0.16745601435902913,0.16211373181663666,1.4814433808801069
120,seasonal naive,1,10.805286637419966,14.633118608169438,3.8278319707494717,3.705714171691488,35.425547689713696
120,seasonal naive,3,11.56140178814913,11.51499009009009,0.046411698059040774,0.04493104413775487,0.4014365983423784
120,seasonal naive,6,11.7795715903855,10.219964415968457,1.5596071744170423,1.509851647792513,13.239931201657583
120,seasonal naive,12,11.303571673427413,11.136115659068384,0.16745601435902913,0.16211373181663666,1.4814433808801069
120,ETS,1,10.805286637419966,10.364381130611369,0.44090550680859764,0.426839474000614,4.080460996580049
120,ETS,3,11.56140178814913,9.421286913824972,2.1401148743241585,2.0718396417170832,18.510859786205653
120,ETS,6,11.7795715903855,9.628285666149448,2.151285924236051,2.08265430607213,18.2628536846954
120,ETS,12,11.303571673427413,11.62887885690296,0.3253071834755463,0.3149290379437279,2.8779149889435636
120,SARIMA,1,10.805286637419966,10.356045628763205,0.4492410086567613,0.43490905165264787,4.157603807574964
120,SARIMA,3,11.56140178814913,9.647484775210176,1.9139170129389544,1.8528580806279906,16.554368129484015
120,SARIMA,6,11.7795715903855,9.854290825191669,1.9252807651938308,1.8638592996199104,16.344234172024112
120,SARIMA,12,11.303571673427413,11.855035847610818,0.5514641741834048,0.533871032236419,4.878671893413956
123,random walk,1,12.27841653522735,11.56140178814913,0.7170147470782204,0.6880285504708413,5.839635306564748
123,random walk,3,11.7795715903855,11.56140178814913,0.2181698022363694,0.20935002160119295,1.852103029064655
123,random walk,6,9.737740131421171,11.56140178814913,1.8236616567279587,1.7499379076103012,18.727770839185506
123,random walk,12,14.715486399910082,11.56140178814913,3.1540846117609522,3.0265768902735473,21.43377749158346
123,seasonal naive,1,12.27841653522735,11.865274838709677,0.4131416965176733,0.39643993900045865,3.36477993992426
123,seasonal naive,3,11.7795715903855,10.219964415968457,1.5596071744170423,1.4965581501506005,13.239931201657583
123,seasonal naive,6,9.737740131421171,8.064062099556432,1.673678031864739,1.6060175539083628,17.187540530725528
123,seasonal naive,12,14.715486399910082,11.56140178814913,3.1540846117609522,3.0265768902735473,21.43377749158346
123,ETS,1,12.27841653522735,11.889551166039668,0.3888653691876822,0.37314501184355975,3.167064483209291
123,ETS,3,11.7795715903855,11.855931676465026,0.07636008607952682,0.07327313636604194,0.6482416231660921
123,ETS,6,9.737740131421171,12.013140250659424,2.2754001192382525,2.183414291212461,23.366819082552063
123,ETS,12,14.715486399910082,12.180678872989136,2.5348075269209467,2.432334837709745,17.22544167440116
123,SARIMA,1,12.27841653522735,11.89396506112396,0.38445147410338976,0.3689095538573033,3.1311160767382384
123,SARIMA,3,11.7795715903855,11.860391018487219,0.08081942810171938,0.07755220404224433,0.6860981953510457
123,SARIMA,6,9.737740131421171,12.017727032492658,2.279986901071487,2.1878156467897427,23.413922227340596
123,SARIMA,12,14.715486399910082,12.40177651525949,2.313709884650592,2.220175337582759,15.72295894116507
126,random walk,1,9.971099045122635,11.7795715903855,1.8084725452628643,1.7611930972180554,18.13714352930311
126,random walk,3,9.737740131421171,11.7795715903855,2.041831458964328,1.988451237830626,20.968227036331207
126,random walk,6,11.303571673427413,11.7795715903855,0.4759999169580862,0.4635557062886441,4.211057625945551
126,random walk,12,19.365305943376825,11.7795715903855,7.5857343529913255,7.387418191563591,39.171776449964845
126,seasonal naive,1,9.971099045122635,10.124196855036857,0.15309780991422173,0.1490953272840188,1.535415596830417
126,seasonal naive,3,9.737740131421171,8.064062099556432,1.673678031864739,1.6299225577998644,17.187540530725528
126,seasonal naive,6,11.303571673427413,11.136115659068384,0.16745601435902913,0.16307816082101606,1.4814433808801069
126,seasonal naive,12,19.365305943376825,11.7795715903855,7.5857343529913255,7.387418191563591,39.171776449964845
126,ETS,1,9.971099045122635,11.462625559754237,1.4915265146316017,1.4525330831080228,14.958496629929495
126,ETS,3,9.737740131421171,11.987020946250338,2.2492808148291665,2.1904771820610263,23.098591505551873
126,ETS,6,11.303571673427413,13.830400563546664,2.5268288901192513,2.460769233564636,22.354251940201824
126,ETS,12,19.365305943376825,12.362588484459248,7.0027174589175765,6.819643285555854,36.161150664973576
126,SARIMA,1,9.971099045122635,11.46453137997501,1.4934323348523755,1.4543890788908493,14.977610071809366
126,SARIMA,3,9.737740131421171,11.989007290248646,2.251267158827474,2.1924115964637685,23.11898991392486
126,SARIMA,6,11.303571673427413,13.832416296115206,2.5288446226877923,2.4627322682232773,22.37208464500326
126,SARIMA,12,19.365305943376825,12.580940659460996,6.784365283915829,6.606999557906822,35.03360754409442
129,random walk,1,10.771754604280737,9.737740131421171,1.0340144728595657,1.0147180921152312,9.599313304525563
129,random walk,3,11.303571673427413,9.737740131421171,1.5658315420062419,1.5366105954826583,13.852537828262012
