h,model,dm_t_vs_random_walk,p_value,verdict
1,seasonal naive,4.783,0.0,worse than random walk
1,ETS,1.869,0.0655,no detectable difference
1,SARIMA,1.945,0.0555,no detectable difference
3,seasonal naive,3.001,0.0036,worse than random walk
3,ETS,1.23,0.2225,no detectable difference
3,SARIMA,1.203,0.2328,no detectable difference
6,seasonal naive,1.547,0.1259,no detectable difference
6,ETS,1.53,0.1303,no detectable difference
6,SARIMA,1.928,0.0577,no detectable difference
12,seasonal naive,,,no detectable difference
12,ETS,1.903,0.0609,no detectable difference
12,SARIMA,1.801,0.0758,no detectable difference
