month,revenue,orders,buyers,avg_order_value,trailing_3m_avg,mom_pct,yoy_pct
2021-01,35.64,6,6,5.94,35.64,,
2021-02,37.62,7,7,5.37,36.63,5.6,
2021-03,37.62,7,7,5.37,36.96,0.0,
2021-04,37.62,7,7,5.37,37.62,0.0,
2021-05,37.62,7,7,5.37,37.62,0.0,
2021-06,37.62,7,7,5.37,37.62,0.0,
2021-07,37.62,7,7,5.37,37.62,0.0,
2021-08,37.62,7,7,5.37,37.62,0.0,
2021-09,37.62,7,7,5.37,37.62,0.0,
2021-10,37.62,7,7,5.37,37.62,0.0,
2021-11,37.62,7,7,5.37,37.62,0.0,
2021-12,37.62,7,7,5.37,37.62,0.0,
2022-01,52.62,7,7,7.52,42.62,39.9,47.6
2022-02,46.62,7,7,6.66,45.62,-11.4,23.9
2022-03,44.62,7,7,6.37,47.95,-4.3,18.6
2022-04,37.62,7,7,5.37,42.95,-15.7,0.0
2022-05,37.62,7,7,5.37,39.95,0.0,0.0
2022-06,37.62,7,7,5.37,37.62,0.0,0.0
2022-07,37.62,7,7,5.37,37.62,0.0,0.0
2022-08,37.62,7,7,5.37,37.62,0.0,0.0
2022-09,36.63,6,6,6.11,37.29,-2.6,-2.6
2022-10,37.62,7,7,5.37,37.29,2.7,0.0
2022-11,37.62,7,7,5.37,37.29,0.0,0.0
2022-12,37.62,7,7,5.37,37.62,0.0,0.0
2023-01,37.62,7,7,5.37,37.62,0.0,-28.5
2023-02,37.62,7,7,5.37,37.62,0.0,-19.3
2023-03,37.62,7,7,5.37,37.62,0.0,-15.7
2023-04,51.62,7,7,7.37,42.29,37.2,37.2
2023-05,42.62,7,7,6.09,43.95,-17.4,13.3
2023-06,50.62,7,7,7.23,48.29,18.8,34.6
2023-07,37.62,7,7,5.37,43.62,-25.7,0.0
2023-08,37.62,7,7,5.37,41.95,0.0,0.0
2023-09,37.62,7,7,5.37,37.62,0.0,2.7
2023-10,37.62,7,7,5.37,37.62,0.0,0.0
2023-11,23.76,6,6,3.96,33.0,-36.8,-36.8
2023-12,37.62,7,7,5.37,33.0,58.3,0.0
2024-01,37.62,7,7,5.37,33.0,0.0,0.0
2024-02,37.62,7,7,5.37,37.62,0.0,0.0
2024-03,37.62,7,7,5.37,37.62,0.0,0.0
2024-04,37.62,7,7,5.37,37.62,0.0,-27.1
2024-05,37.62,7,7,5.37,37.62,0.0,-11.7
2024-06,37.62,7,7,5.37,37.62,0.0,-25.7
2024-07,39.62,7,7,5.66,38.29,5.3,5.3
2024-08,47.62,7,7,6.8,41.62,20.2,26.6
2024-09,46.71,6,6,7.79,44.65,-1.9,24.2
2024-10,42.62,7,7,6.09,45.65,-8.8,13.3
2024-11,37.62,7,7,5.37,42.32,-11.7,58.3
2024-12,37.62,7,7,5.37,39.29,0.0,0.0
2025-01,37.62,7,7,5.37,37.62,0.0,0.0
2025-02,27.72,5,5,5.54,34.32,-26.3,-26.3
2025-03,37.62,7,7,5.37,34.32,35.7,0.0
2025-04,33.66,5,5,6.73,33.0,-10.5,-10.5
2025-05,37.62,7,7,5.37,36.3,11.8,0.0
2025-06,37.62,7,7,5.37,36.3,0.0,0.0
2025-07,37.62,7,7,5.37,37.62,0.0,-5.0
2025-08,37.62,7,7,5.37,37.62,0.0,-21.0
2025-09,37.62,7,7,5.37,37.62,0.0,-19.5
2025-10,37.62,7,7,5.37,37.62,0.0,-11.7
2025-11,49.62,7,7,7.09,41.62,31.9,31.9
2025-12,38.62,7,7,5.52,41.95,-22.2,2.7
