cohort,cohort_size,quarter_offset,active_customers,pct_of_cohort,revenue
2021-Q1,18,0,18,100.0,124.74
2021-Q1,18,1,5,27.8,25.74
2021-Q1,18,2,6,33.3,23.76
2021-Q1,18,3,6,33.3,29.7
2021-Q1,18,4,2,11.1,1.98
2021-Q1,18,5,3,16.7,5.94
2021-Q1,18,6,6,33.3,47.52
2021-Q1,18,7,3,16.7,11.88
2021-Q1,18,8,6,33.3,78.34
2021-Q2,13,0,13,100.0,87.12
2021-Q2,13,1,4,30.8,17.82
2021-Q2,13,2,3,23.1,17.82
2021-Q2,13,3,4,30.8,38.72
2021-Q2,13,4,3,23.1,2.97
2021-Q2,13,5,3,23.1,5.94
2021-Q2,13,6,6,46.2,47.52
2021-Q2,13,7,3,23.1,11.88
2021-Q2,13,8,3,23.1,20.82
2021-Q3,9,0,9,100.0,72.27
2021-Q3,9,1,3,33.3,11.88
2021-Q3,9,2,3,33.3,18.82
2021-Q3,9,3,3,33.3,26.73
2021-Q3,9,4,3,33.3,2.97
2021-Q3,9,5,1,11.1,1.98
2021-Q3,9,6,3,33.3,17.82
2021-Q3,9,7,2,22.2,11.92
2021-Q3,9,8,2,22.2,11.88
2021-Q4,6,0,6,100.0,58.46
2021-Q4,6,1,3,50.0,11.88
2021-Q4,6,2,3,50.0,17.82
2021-Q4,6,3,3,50.0,26.73
2021-Q4,6,4,3,50.0,2.97
2022-Q1,6,0,6,100.0,67.46
2022-Q1,6,1,3,50.0,11.88
2022-Q1,6,2,3,50.0,17.82
2022-Q1,6,3,3,50.0,26.73
2022-Q1,6,4,3,50.0,2.97
2022-Q2,6,0,6,100.0,53.46
2022-Q2,6,1,3,50.0,11.88
2022-Q2,6,2,3,50.0,17.82
2022-Q2,6,3,3,50.0,26.73
2022-Q2,6,4,3,50.0,3.97
2022-Q3,1,0,1,100.0,1.98
2022-Q3,1,1,1,100.0,3.96
2022-Q3,1,2,1,100.0,5.94
2022-Q3,1,4,1,100.0,0.99
