CustomerId,gaps_observed,avg_gap_days,longest_gap_days,last_order_date,days_since_last_order,gaps_overdue,status
38,6,207.5,540,2024-06-30,540,2.6,lapsed
59,5,230.2,540,2024-05-30,571,2.48,lapsed
2,6,214.8,584,2024-07-13,527,2.45,lapsed
17,6,207.5,540,2024-07-31,509,2.45,lapsed
40,6,214.8,584,2024-08-13,496,2.31,lapsed
55,6,207.5,540,2024-08-31,478,2.3,lapsed
19,6,214.8,584,2024-09-13,465,2.16,lapsed
34,6,207.5,540,2024-10-01,447,2.15,lapsed
57,6,214.8,584,2024-10-14,434,2.02,lapsed
13,6,207.5,540,2024-11-01,416,2.0,lapsed
36,6,214.8,584,2024-11-14,403,1.88,at risk
51,6,207.5,540,2024-12-02,385,1.86,at risk
15,6,214.8,584,2024-12-15,372,1.73,at risk
30,6,207.5,540,2025-01-02,354,1.71,at risk
53,6,214.8,584,2025-01-15,341,1.59,at risk
9,6,207.5,540,2025-02-02,323,1.56,at risk
32,6,214.8,584,2025-02-15,310,1.44,at risk
47,6,207.5,540,2025-03-05,292,1.41,at risk
11,6,214.8,584,2025-03-18,279,1.3,at risk
26,6,207.5,540,2025-04-05,261,1.26,at risk
49,6,214.8,584,2025-04-18,248,1.15,at risk
5,6,207.5,540,2025-05-06,230,1.11,at risk
28,6,214.8,584,2025-05-19,217,1.01,at risk
43,6,207.5,540,2025-06-06,199,0.96,active
7,6,214.8,584,2025-06-19,186,0.87,active
